code,country,year,KOFGI,KOFGIdf,KOFGIdj,KOFEcGI,KOFEcGIdf,KOFEcGIdj,KOFTrGI,KOFTrGIdf,KOFTrGIdj,KOFFiGI,KOFFiGIdf,KOFFiGIdj,KOFSoGI,KOFSoGIdf,KOFSoGIdj,KOFIpGI,KOFIpGIdf,KOFIpGIdj,KOFInGI,KOFInGIdf,KOFInGIdj,KOFCuGI,KOFCuGIdf,KOFCuGIdj,KOFPoGI,KOFPoGIdf,KOFPoGIdj,YoY Change,volatility,Volatility,Calculated Volatility
USA,United States,1990,70.0,64.0,75.0,55.0,33.0,76.0,49.0,22.0,75.0,60.0,44.0,77.0,71.0,68.0,73.0,59.0,65.0,53.0,70.0,61.0,79.0,82.0,77.0,88.0,84.0,92.0,76.0,4.512580527531296,30.54837430730232,0.0,30.54837430730232
USA,United States,1991,71.0,64.0,78.0,55.0,32.0,77.0,49.0,22.0,76.0,60.0,43.0,78.0,71.0,69.0,73.0,61.0,67.0,54.0,71.0,61.0,80.0,80.0,77.0,83.0,88.0,92.0,84.0,18.85558107754484,30.54837430730232,0.0,30.54837430730232
USA,United States,1991,71.0,64.0,78.0,55.0,32.0,77.0,49.0,22.0,76.0,60.0,43.0,78.0,71.0,69.0,73.0,61.0,67.0,54.0,71.0,61.0,80.0,80.0,77.0,83.0,88.0,92.0,84.0,18.85558107754484,30.54837430730232,0.0,30.54837430730232
USA,United States,1992,71.0,64.0,79.0,55.0,31.0,78.0,49.0,22.0,76.0,60.0,40.0,80.0,71.0,68.0,73.0,60.0,65.0,56.0,71.0,61.0,81.0,81.0,79.0,83.0,89.0,92.0,85.0,7.338910905621598,30.54837430730232,0.0,30.54837430730232
USA,United States,1992,71.0,64.0,79.0,55.0,31.0,78.0,49.0,22.0,76.0,60.0,40.0,80.0,71.0,68.0,73.0,60.0,65.0,56.0,71.0,61.0,81.0,81.0,79.0,83.0,89.0,92.0,85.0,7.338910905621598,30.54837430730232,0.0,30.54837430730232
USA,United States,1993,73.0,66.0,80.0,55.0,32.0,78.0,49.0,23.0,75.0,61.0,41.0,81.0,71.0,69.0,73.0,60.0,65.0,55.0,71.0,61.0,82.0,82.0,80.0,83.0,92.0,96.0,88.0,9.761155932357912,30.54837430730232,0.0,30.54837430730232
USA,United States,1993,73.0,66.0,80.0,55.0,32.0,78.0,49.0,23.0,75.0,61.0,41.0,81.0,71.0,69.0,73.0,60.0,65.0,55.0,71.0,61.0,82.0,82.0,80.0,83.0,92.0,96.0,88.0,9.761155932357912,30.54837430730232,0.0,30.54837430730232
USA,United States,1994,73.0,65.0,81.0,56.0,33.0,79.0,49.0,23.0,75.0,63.0,43.0,84.0,72.0,69.0,75.0,61.0,65.0,56.0,72.0,61.0,83.0,84.0,81.0,87.0,92.0,94.0,89.0,-2.3234567388550897,30.54837430730232,0.0,30.54837430730232
USA,United States,1994,73.0,65.0,81.0,56.0,33.0,79.0,49.0,23.0,75.0,63.0,43.0,84.0,72.0,69.0,75.0,61.0,65.0,56.0,72.0,61.0,83.0,84.0,81.0,87.0,92.0,94.0,89.0,-2.3234567388550897,30.54837430730232,0.0,30.54837430730232
USA,United States,1995,75.0,67.0,82.0,58.0,36.0,79.0,49.0,23.0,75.0,66.0,49.0,84.0,73.0,69.0,76.0,61.0,66.0,56.0,73.0,61.0,85.0,84.0,81.0,86.0,93.0,96.0,90.0,35.20258492411037,30.54837430730232,0.0,30.54837430730232
USA,United States,1995,75.0,67.0,82.0,58.0,36.0,79.0,49.0,23.0,75.0,66.0,49.0,84.0,73.0,69.0,76.0,61.0,66.0,56.0,73.0,61.0,85.0,84.0,81.0,86.0,93.0,96.0,90.0,35.20258492411037,30.54837430730232,0.0,30.54837430730232
USA,United States,1996,75.0,67.0,82.0,59.0,38.0,81.0,50.0,24.0,77.0,69.0,52.0,85.0,73.0,70.0,76.0,62.0,66.0,57.0,73.0,61.0,84.0,84.0,82.0,86.0,92.0,94.0,91.0,23.606175906418024,30.54837430730232,0.0,30.54837430730232
USA,United States,1996,75.0,67.0,82.0,59.0,38.0,81.0,50.0,24.0,77.0,69.0,52.0,85.0,73.0,70.0,76.0,62.0,66.0,57.0,73.0,61.0,84.0,84.0,82.0,86.0,92.0,94.0,91.0,23.606175906418024,30.54837430730232,0.0,30.54837430730232
USA,United States,1997,76.0,68.0,84.0,61.0,40.0,83.0,51.0,24.0,79.0,71.0,55.0,87.0,75.0,70.0,79.0,62.0,66.0,58.0,73.0,61.0,85.0,89.0,83.0,95.0,92.0,93.0,91.0,24.69217462094231,30.54837430730232,0.0,30.54837430730232
USA,United States,1997,76.0,68.0,84.0,61.0,40.0,83.0,51.0,24.0,79.0,71.0,55.0,87.0,75.0,70.0,79.0,62.0,66.0,58.0,73.0,61.0,85.0,89.0,83.0,95.0,92.0,93.0,91.0,24.69217462094231,30.54837430730232,0.0,30.54837430730232
USA,United States,1998,77.0,68.0,86.0,62.0,41.0,84.0,52.0,24.0,80.0,72.0,57.0,87.0,76.0,71.0,82.0,63.0,67.0,59.0,75.0,61.0,89.0,91.0,84.0,97.0,92.0,93.0,92.0,30.5382135716326,30.54837430730232,0.0,30.54837430730232
USA,United States,1998,77.0,68.0,86.0,62.0,41.0,84.0,52.0,24.0,80.0,72.0,57.0,87.0,76.0,71.0,82.0,63.0,67.0,59.0,75.0,61.0,89.0,91.0,84.0,97.0,92.0,93.0,92.0,30.5382135716326,30.54837430730232,0.0,30.54837430730232
USA,United States,1999,77.0,69.0,86.0,64.0,42.0,85.0,53.0,24.0,81.0,75.0,61.0,88.0,77.0,71.0,82.0,64.0,69.0,60.0,75.0,61.0,89.0,90.0,83.0,97.0,92.0,92.0,92.0,8.97283611015598,30.54837430730232,0.0,30.54837430730232
USA,United States,1999,77.0,69.0,86.0,64.0,42.0,85.0,53.0,24.0,81.0,75.0,61.0,88.0,77.0,71.0,82.0,64.0,69.0,60.0,75.0,61.0,89.0,90.0,83.0,97.0,92.0,92.0,92.0,8.97283611015598,30.54837430730232,0.0,30.54837430730232
USA,United States,2000,77.0,69.0,85.0,65.0,45.0,86.0,53.0,25.0,82.0,77.0,64.0,89.0,74.0,70.0,79.0,65.0,70.0,61.0,78.0,65.0,90.0,80.0,75.0,85.0,92.0,93.0,92.0,-2.040216284439856,30.54837430730232,0.0,30.54837430730232
USA,United States,2000,77.0,69.0,85.0,65.0,45.0,86.0,53.0,25.0,82.0,77.0,64.0,89.0,74.0,70.0,79.0,65.0,70.0,61.0,78.0,65.0,90.0,80.0,75.0,85.0,92.0,93.0,92.0,-2.040216284439856,30.54837430730232,0.0,30.54837430730232
USA,United States,2001,78.0,69.0,86.0,65.0,43.0,86.0,53.0,25.0,82.0,76.0,61.0,90.0,76.0,71.0,81.0,66.0,70.0,61.0,79.0,67.0,90.0,84.0,77.0,91.0,92.0,92.0,92.0,-17.2626847534059,30.54837430730232,0.0,30.54837430730232
USA,United States,2001,78.0,69.0,86.0,65.0,43.0,86.0,53.0,25.0,82.0,76.0,61.0,90.0,76.0,71.0,81.0,66.0,70.0,61.0,79.0,67.0,90.0,84.0,77.0,91.0,92.0,92.0,92.0,-17.2626847534059,30.54837430730232,0.0,30.54837430730232
USA,United States,2002,77.0,69.0,86.0,63.0,43.0,82.0,53.0,25.0,80.0,73.0,61.0,84.0,77.0,72.0,83.0,67.0,71.0,62.0,80.0,68.0,91.0,86.0,77.0,95.0,92.0,91.0,93.0,-24.28773668377279,30.54837430730232,0.0,30.54837430730232
USA,United States,2002,77.0,69.0,86.0,63.0,43.0,82.0,53.0,25.0,80.0,73.0,61.0,84.0,77.0,72.0,83.0,67.0,71.0,62.0,80.0,68.0,91.0,86.0,77.0,95.0,92.0,91.0,93.0,-24.28773668377279,30.54837430730232,0.0,30.54837430730232
USA,United States,2003,78.0,70.0,86.0,63.0,45.0,82.0,53.0,25.0,81.0,74.0,64.0,83.0,77.0,73.0,82.0,67.0,72.0,62.0,80.0,70.0,91.0,85.0,77.0,93.0,92.0,91.0,93.0,32.18768259904172,30.54837430730232,0.0,30.54837430730232
USA,United States,2003,78.0,70.0,86.0,63.0,45.0,82.0,53.0,25.0,81.0,74.0,64.0,83.0,77.0,73.0,82.0,67.0,72.0,62.0,80.0,70.0,91.0,85.0,77.0,93.0,92.0,91.0,93.0,32.18768259904172,30.54837430730232,0.0,30.54837430730232
USA,United States,2004,78.0,71.0,85.0,66.0,48.0,83.0,54.0,26.0,82.0,77.0,70.0,84.0,78.0,75.0,81.0,67.0,72.0,61.0,82.0,71.0,92.0,85.0,81.0,90.0,91.0,91.0,92.0,4.432735406186716,30.54837430730232,0.0,30.54837430730232
USA,United States,2004,78.0,71.0,85.0,66.0,48.0,83.0,54.0,26.0,82.0,77.0,70.0,84.0,78.0,75.0,81.0,67.0,72.0,61.0,82.0,71.0,92.0,85.0,81.0,90.0,91.0,91.0,92.0,4.432735406186716,30.54837430730232,0.0,30.54837430730232
USA,United States,2005,78.0,72.0,84.0,65.0,49.0,81.0,54.0,26.0,82.0,76.0,73.0,80.0,79.0,77.0,80.0,67.0,72.0,62.0,82.0,72.0,92.0,87.0,87.0,87.0,92.0,91.0,93.0,8.364726099875552,30.54837430730232,0.0,30.54837430730232
USA,United States,2005,78.0,72.0,84.0,65.0,49.0,81.0,54.0,26.0,82.0,76.0,73.0,80.0,79.0,77.0,80.0,67.0,72.0,62.0,82.0,72.0,92.0,87.0,87.0,87.0,92.0,91.0,93.0,8.364726099875552,30.54837430730232,0.0,30.54837430730232
USA,United States,2006,80.0,74.0,86.0,66.0,52.0,81.0,54.0,26.0,82.0,79.0,77.0,80.0,82.0,80.0,83.0,68.0,75.0,62.0,83.0,73.0,93.0,94.0,93.0,95.0,92.0,91.0,93.0,12.35547778263859,30.54837430730232,0.0,30.54837430730232
USA,United States,2006,80.0,74.0,86.0,66.0,52.0,81.0,54.0,26.0,82.0,79.0,77.0,80.0,82.0,80.0,83.0,68.0,75.0,62.0,83.0,73.0,93.0,94.0,93.0,95.0,92.0,91.0,93.0,12.35547778263859,30.54837430730232,0.0,30.54837430730232
USA,United States,2007,81.0,77.0,86.0,68.0,53.0,82.0,55.0,27.0,83.0,80.0,79.0,82.0,85.0,87.0,82.0,68.0,75.0,62.0,93.0,92.0,94.0,92.0,94.0,91.0,92.0,91.0,94.0,-4.150211369451551,30.54837430730232,0.0,30.54837430730232
USA,United States,2007,81.0,77.0,86.0,68.0,53.0,82.0,55.0,27.0,83.0,80.0,79.0,82.0,85.0,87.0,82.0,68.0,75.0,62.0,93.0,92.0,94.0,92.0,94.0,91.0,92.0,91.0,94.0,-4.150211369451551,30.54837430730232,0.0,30.54837430730232
USA,United States,2008,81.0,76.0,85.0,65.0,51.0,79.0,55.0,28.0,81.0,76.0,75.0,77.0,85.0,87.0,83.0,69.0,76.0,62.0,93.0,93.0,93.0,94.0,93.0,94.0,92.0,91.0,94.0,-40.09067498458525,30.54837430730232,0.0,30.54837430730232
USA,United States,2008,81.0,76.0,85.0,65.0,51.0,79.0,55.0,28.0,81.0,76.0,75.0,77.0,85.0,87.0,83.0,69.0,76.0,62.0,93.0,93.0,93.0,94.0,93.0,94.0,92.0,91.0,94.0,-40.09067498458525,30.54837430730232,0.0,30.54837430730232
USA,United States,2009,80.0,76.0,85.0,64.0,50.0,78.0,53.0,26.0,81.0,74.0,74.0,75.0,85.0,87.0,84.0,69.0,75.0,64.0,93.0,93.0,93.0,94.0,93.0,95.0,92.0,90.0,94.0,30.027364750326903,30.54837430730232,0.0,30.54837430730232
USA,United States,2009,80.0,76.0,85.0,64.0,50.0,78.0,53.0,26.0,81.0,74.0,74.0,75.0,85.0,87.0,84.0,69.0,75.0,64.0,93.0,93.0,93.0,94.0,93.0,95.0,92.0,90.0,94.0,30.027364750326903,30.54837430730232,0.0,30.54837430730232
USA,United States,2010,80.0,76.0,84.0,65.0,51.0,78.0,54.0,27.0,80.0,75.0,75.0,76.0,84.0,87.0,81.0,69.0,75.0,64.0,93.0,94.0,92.0,91.0,93.0,88.0,92.0,90.0,94.0,19.764962239377205,30.54837430730232,0.0,30.54837430730232
USA,United States,2010,80.0,76.0,84.0,65.0,51.0,78.0,54.0,27.0,80.0,75.0,75.0,76.0,84.0,87.0,81.0,69.0,75.0,64.0,93.0,94.0,92.0,91.0,93.0,88.0,92.0,90.0,94.0,19.764962239377205,30.54837430730232,0.0,30.54837430730232
USA,United States,2011,81.0,77.0,85.0,65.0,52.0,78.0,55.0,30.0,80.0,75.0,75.0,76.0,86.0,88.0,84.0,70.0,75.0,64.0,93.0,94.0,93.0,94.0,93.0,95.0,92.0,90.0,94.0,2.0441327403352805,30.54837430730232,0.0,30.54837430730232
USA,United States,2011,81.0,77.0,85.0,65.0,52.0,78.0,55.0,30.0,80.0,75.0,75.0,76.0,86.0,88.0,84.0,70.0,75.0,64.0,93.0,94.0,93.0,94.0,93.0,95.0,92.0,90.0,94.0,2.0441327403352805,30.54837430730232,0.0,30.54837430730232
USA,United States,2012,81.0,77.0,85.0,65.0,53.0,78.0,55.0,30.0,80.0,76.0,75.0,76.0,85.0,88.0,82.0,70.0,76.0,64.0,94.0,95.0,93.0,90.0,94.0,87.0,92.0,91.0,94.0,14.149541682858246,30.54837430730232,0.0,30.54837430730232
USA,United States,2012,81.0,77.0,85.0,65.0,53.0,78.0,55.0,30.0,80.0,76.0,75.0,76.0,85.0,88.0,82.0,70.0,76.0,64.0,94.0,95.0,93.0,90.0,94.0,87.0,92.0,91.0,94.0,14.149541682858246,30.54837430730232,0.0,30.54837430730232
USA,United States,2013,81.0,77.0,85.0,65.0,53.0,78.0,55.0,30.0,80.0,76.0,76.0,76.0,86.0,89.0,83.0,71.0,76.0,66.0,94.0,96.0,93.0,92.0,94.0,91.0,92.0,90.0,94.0,18.9892598006822,30.54837430730232,0.0,30.54837430730232
USA,United States,2013,81.0,77.0,85.0,65.0,53.0,78.0,55.0,30.0,80.0,76.0,76.0,76.0,86.0,89.0,83.0,71.0,76.0,66.0,94.0,96.0,93.0,92.0,94.0,91.0,92.0,90.0,94.0,18.9892598006822,30.54837430730232,0.0,30.54837430730232
USA,United States,2014,82.0,78.0,86.0,67.0,53.0,81.0,56.0,30.0,83.0,78.0,77.0,79.0,86.0,89.0,83.0,71.0,77.0,65.0,94.0,96.0,92.0,93.0,94.0,92.0,92.0,91.0,94.0,11.915246916004252,30.54837430730232,0.0,30.54837430730232
USA,United States,2014,82.0,78.0,86.0,67.0,53.0,81.0,56.0,30.0,83.0,78.0,77.0,79.0,86.0,89.0,83.0,71.0,77.0,65.0,94.0,96.0,92.0,93.0,94.0,92.0,92.0,91.0,94.0,11.915246916004252,30.54837430730232,0.0,30.54837430730232
USA,United States,2015,82.0,77.0,86.0,66.0,52.0,80.0,56.0,29.0,82.0,76.0,76.0,77.0,87.0,89.0,84.0,71.0,77.0,66.0,94.0,96.0,92.0,94.0,94.0,94.0,92.0,90.0,94.0,-2.7443746585195883,30.54837430730232,0.0,30.54837430730232
USA,United States,2015,82.0,77.0,86.0,66.0,52.0,80.0,56.0,29.0,82.0,76.0,76.0,77.0,87.0,89.0,84.0,71.0,77.0,66.0,94.0,96.0,92.0,94.0,94.0,94.0,92.0,90.0,94.0,-2.7443746585195883,30.54837430730232,0.0,30.54837430730232
USA,United States,2016,82.0,77.0,87.0,67.0,52.0,82.0,56.0,28.0,84.0,79.0,76.0,81.0,87.0,90.0,84.0,72.0,78.0,66.0,95.0,97.0,94.0,94.0,94.0,94.0,92.0,90.0,94.0,17.45299550571062,30.54837430730232,0.0,30.54837430730232
USA,United States,2016,82.0,77.0,87.0,67.0,52.0,82.0,56.0,28.0,84.0,79.0,76.0,81.0,87.0,90.0,84.0,72.0,78.0,66.0,95.0,97.0,94.0,94.0,94.0,94.0,92.0,90.0,94.0,17.45299550571062,30.54837430730232,0.0,30.54837430730232
USA,United States,2017,82.0,78.0,87.0,68.0,53.0,82.0,56.0,28.0,84.0,80.0,79.0,81.0,87.0,90.0,83.0,72.0,78.0,66.0,95.0,97.0,93.0,93.0,95.0,92.0,92.0,90.0,94.0,23.912728676931994,30.54837430730232,0.0,30.54837430730232
USA,United States,2017,82.0,78.0,87.0,68.0,53.0,82.0,56.0,28.0,84.0,80.0,79.0,81.0,87.0,90.0,83.0,72.0,78.0,66.0,95.0,97.0,93.0,93.0,95.0,92.0,92.0,90.0,94.0,23.912728676931994,30.54837430730232,0.0,30.54837430730232
USA,United States,2018,82.0,78.0,86.0,67.0,53.0,81.0,55.0,28.0,82.0,80.0,79.0,81.0,87.0,90.0,83.0,70.0,78.0,63.0,95.0,97.0,93.0,95.0,95.0,94.0,92.0,90.0,94.0,-4.2393078854455535,30.54837430730232,0.0,30.54837430730232
USA,United States,2018,82.0,78.0,86.0,67.0,53.0,81.0,55.0,28.0,82.0,80.0,79.0,81.0,87.0,90.0,83.0,70.0,78.0,63.0,95.0,97.0,93.0,95.0,95.0,94.0,92.0,90.0,94.0,-4.2393078854455535,30.54837430730232,0.0,30.54837430730232
USA,United States,2019,82.0,78.0,86.0,67.0,54.0,81.0,54.0,28.0,81.0,81.0,80.0,81.0,87.0,90.0,84.0,70.0,78.0,62.0,95.0,97.0,93.0,96.0,95.0,97.0,92.0,90.0,94.0,19.28257091083909,30.54837430730232,0.0,30.54837430730232
USA,United States,2019,82.0,78.0,86.0,67.0,54.0,81.0,54.0,28.0,81.0,81.0,80.0,81.0,87.0,90.0,84.0,70.0,78.0,62.0,95.0,97.0,93.0,96.0,95.0,97.0,92.0,90.0,94.0,19.28257091083909,30.54837430730232,0.0,30.54837430730232
USA,United States,2020,81.0,77.0,85.0,67.0,52.0,81.0,53.0,25.0,82.0,80.0,80.0,81.0,85.0,89.0,81.0,68.0,75.0,60.0,95.0,97.0,94.0,92.0,95.0,88.0,92.0,90.0,94.0,15.15166546789355,30.54837430730232,0.0,30.54837430730232
USA,United States,2020,81.0,77.0,85.0,67.0,52.0,81.0,53.0,25.0,82.0,80.0,80.0,81.0,85.0,89.0,81.0,68.0,75.0,60.0,95.0,97.0,94.0,92.0,95.0,88.0,92.0,90.0,94.0,15.15166546789355,30.54837430730232,0.0,30.54837430730232
