year,YoY Change,volatility,code
2008,-22.89306868959784,26.128190033052274,KEN
2009,-3.113207547169816,15.56299488907438,KEN
2010,38.03032410627347,10.534297995735088,KEN
2011,-31.08938828983171,11.317256627851341,KEN
2012,39.73384030418252,7.7579777144964455,KEN
2013,42.91993720565151,12.342409776032305,KEN
2014,19.537199765670763,54.47019770847173,KEN
2015,-10.867434452340119,11.283513081497157,KEN
2016,-8.859106529209615,12.855311592667764,KEN
2017,29.070205866827514,13.050439035388555,KEN
2018,-18.08833839682169,13.766868440813498,KEN
2019,18.388017118402278,13.06656957605285,KEN
2020,-8.398602241233888,19.158392646566153,KEN
2021,9.905288082083663,14.284928365238658,KEN
