date,value
1994-03-30,1515.6000
1994-04-04,1355.0000
1994-04-05,1428.0000
1994-04-06,1435.5000
1994-04-07,1474.9000
1994-04-08,1537.4000
1994-04-11,1659.6000
1994-04-12,1648.9000
1994-04-13,1552.7000
1994-04-14,1506.2000
1994-04-15,1443.4000
1994-04-18,1401.1000
1994-04-19,1345.6000
1994-04-20,1283.8000
1994-04-22,1420.3000
1994-04-25,1551.6000
1994-04-26,1583.9000
1994-04-27,1605.2000
1994-04-28,1672.7000
1994-04-29,1708.4000
1994-05-02,1725.7000
1994-05-03,1648.4000
1994-05-04,1573.8000
1994-05-05,1447.9000
1994-05-06,1510.3000
1994-05-09,1421.8000
1994-05-10,1548.0000
1994-05-11,1546.1000
1994-05-12,1637.8000
1994-05-13,1585.9000
1994-05-16,1562.6000
1994-05-17,1648.4000
1994-05-18,1790.9000
1994-05-19,2008.5000
1994-05-20,2031.7000
1994-05-23,2096.3000
1994-05-24,2127.8000
1994-05-25,2301.8000
1994-05-26,2342.1001
1994-05-27,2349.5000
1994-05-30,2428.3999
1994-05-31,2467.2000
1994-06-01,2526.5000
1994-06-03,2696.0000
1994-06-06,2908.7000
1994-06-07,2920.5000
1994-06-08,2821.8000
1994-06-09,2932.3999
1994-06-10,3020.3999
1994-06-13,2946.8999
1994-06-14,3017.3000
1994-06-15,3069.8000
1994-06-16,3033.8999
1994-06-17,3237.6001
1994-06-20,3237.8999
1994-06-21,3127.6001
1994-06-22,3198.6001
1994-06-23,3140.0000
1994-06-24,3109.6001
1994-06-27,3372.1001
1994-06-28,3563.6001
1994-06-29,3828.3999
1994-06-30,3623.2000
1994-07-04,3580.8999
1994-07-05,3564.3000
1994-07-06,3753.5000
1994-07-07,3905.0000
1994-07-08,4051.8999
1994-07-11,4010.8999
1994-07-12,3919.8000
1994-07-13,3840.8999
1994-07-14,4016.5000
1994-07-15,4079.8999
1994-07-18,4045.3000
1994-07-19,3874.7000
1994-07-20,4038.6001
1994-07-21,4018.5000
1994-07-22,3986.6001
1994-07-25,3993.8999
1994-07-26,4077.2000
1994-07-27,4150.1001
1994-07-28,4255.3999
1994-07-29,4201.2998
1994-08-01,4152.0000
