date,value
1991-11-19,242.2400
1991-11-20,244.5000
1991-11-21,246.3100
1991-11-22,248.5300
1991-11-25,250.8500
1991-11-26,252.9700
1991-11-27,255.4500
1991-11-28,257.3500
1991-11-29,259.6000
1991-12-02,262.1900
1991-12-03,264.8100
1991-12-04,265.7700
1991-12-05,266.6600
1991-12-06,269.3500
1991-12-09,270.2700
1991-12-10,272.9100
1991-12-11,273.7100
1991-12-12,274.4100
1991-12-13,277.0000
1991-12-16,277.8500
1991-12-17,278.6800
1991-12-18,279.5100
1991-12-19,280.1700
1991-12-20,282.8300
1991-12-23,285.6500
1991-12-24,286.2200
1991-12-25,287.1500
1991-12-26,288.0300
1991-12-27,290.8500
1991-12-30,291.7100
1991-12-31,292.7500
1992-01-02,293.7500
1992-01-03,296.5200
1992-01-06,297.6800
1992-01-07,298.7700
1992-01-08,299.6600
1992-01-09,300.6200
1992-01-10,301.8300
1992-01-13,303.0600
1992-01-14,305.7400
1992-01-15,306.6300
1992-01-16,306.8500
1992-01-17,307.3800
1992-01-20,307.3900
1992-01-21,307.8700
1992-01-22,307.9500
1992-01-23,308.5300
1992-01-24,309.0500
1992-01-27,311.6100
1992-01-28,311.8400
1992-01-29,312.4200
1992-01-30,312.7300
1992-01-31,313.2400
1992-02-03,314.1800
1992-02-07,314.7200
1992-02-10,315.5600
1992-02-11,316.4300
1992-02-12,316.4400
1992-02-13,317.0400
1992-02-14,319.6800
1992-02-17,319.7700
1992-02-18,337.1100
1992-02-19,342.4100
1992-02-20,347.9900
1992-02-21,359.5900
1992-02-24,360.5000
1992-02-25,360.3700
1992-02-26,360.1000
1992-02-27,362.4500
1992-02-28,364.6600
1992-03-02,365.3900
1992-03-03,367.0000
1992-03-04,368.3200
1992-03-05,369.7600
1992-03-06,371.7600
1992-03-09,373.5300
1992-03-10,375.2300
1992-03-11,376.1400
1992-03-12,376.9200
1992-03-13,376.3800
1992-03-16,377.0500
1992-03-17,377.4900
1992-03-18,377.6600
1992-03-19,377.3100
1992-03-20,377.9900
1992-03-23,378.8900
1992-03-24,378.6900
1992-03-25,378.1200
1992-03-26,379.1300
1992-03-27,380.7700
1992-03-30,381.4400
1992-03-31,381.2400
1992-04-01,381.0100
1992-04-02,381.1200
1992-04-03,381.3300
1992-04-06,381.4700
1992-04-07,381.9300
1992-04-08,382.4300
1992-04-09,381.6500
1992-04-10,382.0300
1992-04-13,391.1100
1992-04-14,400.6100
1992-04-15,406.7200
1992-04-16,410.5500
1992-04-17,414.4200
1992-04-20,413.8500
1992-04-21,410.0600
1992-04-22,399.8800
1992-04-23,407.2500
1992-04-24,414.4000
1992-04-27,424.5800
1992-04-28,436.0900
1992-04-29,444.1600
1992-04-30,445.3800
1992-05-04,453.6200
1992-05-05,449.2100
1992-05-06,449.9600
1992-05-07,454.6500
1992-05-08,468.1100
1992-05-11,491.5000
1992-05-12,506.5300
1992-05-13,514.0400
1992-05-14,523.3600
1992-05-15,544.3500
1992-05-18,571.8200
1992-05-19,598.1100
1992-05-20,616.9900
1992-05-21,1266.4900
1992-05-22,1339.9900
1992-05-25,1421.5700
1992-05-26,1301.3500
1992-05-27,1193.1700
1992-05-28,1160.1700
1992-05-29,1234.7100
1992-06-01,1183.2400
1992-06-02,1141.0200
1992-06-03,1059.0700
1992-06-04,1104.4600
1992-06-05,1105.7600
1992-06-08,1093.4600
1992-06-09,1126.6200
1992-06-10,1187.0200
1992-06-11,1178.3000
1992-06-12,1171.7100
1992-06-15,1171.8500
1992-06-16,1166.7000
1992-06-17,1169.5700
1992-06-18,1168.4300
1992-06-19,1171.9400
1992-06-22,1169.9000
1992-06-23,1158.1700
1992-06-24,1151.0600
1992-06-25,1160.2300
1992-06-26,1164.6700
1992-06-29,1169.5100
1992-06-30,1191.1900
1992-07-01,1194.1800
1992-07-02,1187.4800
1992-07-03,1189.1600
1992-07-06,1201.0100
1992-07-07,1206.4600
1992-07-08,1185.5000
1992-07-09,1178.5300
1992-07-10,1188.6200
1992-07-13,1136.3300
1992-07-14,1114.0500
1992-07-15,1107.6900
1992-07-16,1124.6400
1992-07-17,1125.5600
1992-07-20,1098.8200
1992-07-21,1082.3900
1992-07-22,1035.6600
1992-07-23,1014.5700
1992-07-24,1142.0200
1992-07-27,1149.3300
1992-07-28,1105.9500
1992-07-29,1087.1200
1992-07-30,1057.4000
1992-07-31,1052.0700
