year,YoY Change,volatility,code
1991,17.260815460068812,19.947519378608327,DEU
1992,-4.407266371184226,14.296292226072408,DEU
1993,48.10944948736369,13.72361447126989,DEU
1994,-8.311287477954144,16.798596774637456,DEU
1995,9.877369559990367,13.104217712496563,DEU
1996,24.67942249899002,12.751913637193656,DEU
1997,53.19783066554338,23.249696833008763,DEU
1998,20.348283589500447,28.65041177315047,DEU
1999,28.528126947279443,22.050530370324886,DEU
2000,-6.827972163962926,24.067757764679055,DEU
2001,-17.83739337015665,28.593010135779878,DEU
2002,-39.916560367434236,40.11701909176394,DEU
2003,29.418622626439593,31.514817810256456,DEU
2004,6.794321264153291,15.873403204341827,DEU
2005,26.993875237683284,12.239853296708914,DEU
2006,22.589989321061733,15.490811242351644,DEU
2007,18.978526371714466,15.50708678993085,DEU
2008,-37.43865838362607,38.01322535495559,DEU
2009,21.621051850106742,28.55937281470825,DEU
2010,15.565372602727145,18.430483655360568,DEU
2011,-11.776838286493108,28.87365662410516,DEU
2012,26.144356624326214,19.16143249338919,DEU
2013,20.842088883914677,14.632917152038706,DEU
2014,3.879669660980145,16.747027915072184,DEU
2015,5.312075945157924,23.580688083571545,DEU
2016,12.786475623469373,20.958118766326884,DEU
2017,10.976235371816445,10.650542662197255,DEU
2018,-17.800719269635977,15.466934229016042,DEU
2019,26.518805427879833,13.96477379424088,DEU
2020,2.5460315420744006,33.078673899360545,DEU
2021,16.71183398243137,14.283696618855942,DEU
2022,-11.47925219387631,23.458392169536765,DEU
